symbol,symbolName,buy,bestBidSize,sell,bestAskSize,changeRate,changePrice,open,high,low,vol,volValue,last,lastSize,averagePrice,takerFeeRate,makerFeeRate,takerCoefficient,makerCoefficient,trade_time
BTC-USDT,BTC-USDT,97546.7,0.63613065,97546.8,0.27903757,0.0328,3099.4,94447.3,97958.2,94076.6,11486.258926259101036,1102162176.2450888696587648,97546.7,0.05015511,95022.93037052,0.001,0.001,1,1,1768424624698
BTC-USDT,BTC-USDT,97546.7,0.58956083,97546.8,0.31945596,0.0328,3099.4,94447.3,97958.2,94076.6,11487.601240339101036,1102293100.8921661236587648,97546.7,0.05015511,95022.93037052,0.001,0.001,1,1,1768424625174
BTC-USDT,BTC-USDT,97538,0.08347034,97538.1,1.54477189,0.0327,3090.7,94447.3,97958.2,94076.6,11487.601240339101036,1102293100.8921661236587648,97538,0.038,95022.93037052,0.001,0.001,1,1,1768424625462
BTC-USDT,BTC-USDT,97538,0.12667701,97538.1,1.44486261,0.0328,3098.5,94447.3,97958.2,94076.6,11487.601240339101036,1102293100.8921661236587648,97545.8,0.02759565,95022.93037052,0.001,0.001,1,1,1768424625757
BTC-USDT,BTC-USDT,97538,0.12667701,97538.1,1.44486261,0.0328,3098.5,94447.3,97958.2,94076.6,11487.601240339101036,1102293100.8921661236587648,97545.8,0.02759565,95022.93037052,0.001,0.001,1,1,1768424626018
BTC-USDT,BTC-USDT,97538,0.12667701,97538.1,1.44486261,0.0328,3098.5,94447.3,97958.2,94076.6,11487.601240339101036,1102293100.8921661236587648,97545.8,0.02759565,95022.93037052,0.001,0.001,1,1,1768424626286
BTC-USDT,BTC-USDT,97538,0.12667701,97538.1,1.44486261,0.0328,3098.5,94447.3,97958.2,94076.6,11487.601240339101036,1102293100.8921661236587648,97545.8,0.02759565,95022.93037052,0.001,0.001,1,1,1768424626579
BTC-USDT,BTC-USDT,97538,0.12667701,97538.1,1.44486261,0.0328,3098.5,94447.3,97958.2,94076.6,11487.601240339101036,1102293100.8921661236587648,97545.8,0.02759565,95022.93037052,0.001,0.001,1,1,1768424626864
BTC-USDT,BTC-USDT,97538,0.31685804,97538.1,1.57626112,0.0327,3090.7,94447.3,97958.2,94076.6,11487.601240339101036,1102293100.8921661236587648,97538,0.01220838,95022.93037052,0.001,0.001,1,1,1768424627191
BTC-USDT,BTC-USDT,97538,0.30450672,97538.1,1.57626112,0.0327,3090.7,94447.3,97958.2,94076.6,11487.601240339101036,1102293100.8921661236587648,97538,0.01220838,95022.93037052,0.001,0.001,1,1,1768424627463
BTC-USDT,BTC-USDT,97538,0.31685804,97538.1,1.57626112,0.0327,3090.7,94447.3,97958.2,94076.6,11487.601240339101036,1102293100.8921661236587648,97538,0.01220838,95022.93037052,0.001,0.001,1,1,1768424627730
BTC-USDT,BTC-USDT,97538,0.31685804,97538.1,1.57626112,0.0327,3090.7,94447.3,97958.2,94076.6,11487.601240339101036,1102293100.8921661236587648,97538,0.01220838,95022.93037052,0.001,0.001,1,1,1768424628008
BTC-USDT,BTC-USDT,97538,0.30450672,97538.1,1.57626112,0.0327,3090.7,94447.3,97958.2,94076.6,11487.601240339101036,1102293100.8921661236587648,97538,0.01220838,95022.93037052,0.001,0.001,1,1,1768424628288
BTC-USDT,BTC-USDT,97538,0.30450672,97538.1,1.57626112,0.0327,3090.7,94447.3,97958.2,94076.6,11487.601240339101036,1102293100.8921661236587648,97538,0.01220838,95022.93037052,0.001,0.001,1,1,1768424628583
BTC-USDT,BTC-USDT,97538,0.30450672,97538.1,1.57626112,0.0327,3090.7,94447.3,97958.2,94076.6,11487.601240339101036,1102293100.8921661236587648,97538,0.01220838,95022.93037052,0.001,0.001,1,1,1768424629028
BTC-USDT,BTC-USDT,97538,0.30450672,97538.1,1.57626112,0.0327,3090.7,94447.3,97958.2,94076.6,11487.601240339101036,1102293100.8921661236587648,97538,0.01220838,95022.93037052,0.001,0.001,1,1,1768424629295
BTC-USDT,BTC-USDT,97546.7,0.60884276,97546.8,0.07077,0.0327,3095.7,94447.3,97958.2,94076.6,11487.601240339101036,1102293100.8921661236587648,97543,0.00134557,95022.93037052,0.001,0.001,1,1,1768424629562
BTC-USDT,BTC-USDT,97538,0.37820235,97538.1,0.39468279,0.0327,3090.7,94447.3,97958.2,94076.6,11487.601240339101036,1102293100.8921661236587648,97538,0.00044046,95022.93037052,0.001,0.001,1,1,1768424629846
